DispositionScore,OrbitalPeriod[days,OrbitalPeriodUpperUnc.[days,OrbitalPeriodLowerUnc.[days,TransitEpoch[BKJD,TransitEpochUpperUnc.[BKJD,TransitEpochLowerUnc.[BKJD,ImpactParamete,ImpactParameterUpperUnc,ImpactParameterLowerUnc,TransitDuration[hrs,TransitDurationUpperUnc.[hrs,TransitDurationLowerUnc.[hrs,TransitDepth[ppm,TransitDepthUpperUnc.[ppm,TransitDepthLowerUnc.[ppm,PlanetaryRadius[Earthradii,PlanetaryRadiusUpperUnc.[Earthradii,PlanetaryRadiusLowerUnc.[Earthradii,EquilibriumTemperature[K,InsolationFlux[Earthflux,InsolationFluxUpperUnc.[Earthflux,InsolationFluxLowerUnc.[Earthflux,TransitSignal-to-Nois,TCEPlanetNumbe,StellarEffectiveTemperature[K,StellarEffectiveTemperatureUpperUnc.[K,StellarEffectiveTemperatureLowerUnc.[K,StellarSurfaceGravity[log10(cm/s**2),StellarSurfaceGravityUpperUnc.[log10(cm/s**2),StellarSurfaceGravityLowerUnc.[log10(cm/s**2),StellarRadius[Solarradii,StellarRadiusUpperUnc.[Solarradii,StellarRadiusLowerUnc.[Solarradii,RA[decimaldegrees,Dec[decimaldegrees,Kepler-band[mag],ExoplanetCandidate,ExoplanetConfirmed
0.0,2.249000963,5.31e-07,-5.31e-07,132.651415,0.000186,-0.000186,0.68,0.002,-0.002,9.6022,0.0146,-0.0146,58800.0,70.7,-70.7,59.61,13.6,-31.6,2126.0,4838.14,3358.9,-3892.75,1159.5,1.0,6025.0,180.0,-180.0,3.8,0.552,-0.138,2.293,0.521,-1.216,297.50803,46.521568,12.502,0,0
0.994,12.7319385,2.41e-05,-2.41e-05,138.73144,0.00163,-0.00163,1.278,6.742,-0.072,4.4157,0.0893,-0.0893,11400.0,196.0,-196.0,70.11,24.9,-10.6,1145.0,405.75,424.97,-156.02,69.9,1.0,7238.0,201.0,-277.0,4.221,0.09,-0.21,1.568,0.556,-0.238,295.21661,50.084332,12.087,0,0
0.0,2.696354974,1.51e-07,-1.51e-07,132.9926416,4.66e-05,-4.66e-05,0.324,0.007,-0.003,5.39585,0.00199,-0.00199,246000.0,113.0,-113.0,80.71,21.9,-24.3,1815.0,2560.78,1962.53,-1441.09,2717.0,1.0,6472.0,146.0,-178.0,4.08,0.293,-0.158,1.579,0.428,-0.475,283.76651,47.818989,11.009,0,0
0.913,4.887803076,4.66e-07,-4.66e-07,124.8130808,7.51e-05,-7.51e-05,0.054,0.145,-0.054,2.36255,0.00466,-0.00466,4320.0,6.1,-6.1,4.82,0.17,-0.18,800.0,96.67,14.91,-13.89,862.3,1.0,4778.0,86.0,-95.0,4.591,0.015,-0.036,0.763,0.028,-0.028,297.70935,48.080853,9.174,1,2
0.997,60.0853848,0.000224,-0.000224,153.25707,0.00269,-0.00269,0.79,0.131,-0.535,7.007,0.116,-0.116,432.0,9.6,-9.6,2.4,0.43,-0.12,485.0,13.07,6.51,-2.24,51.7,1.0,6028.0,107.0,-131.0,4.459,0.024,-0.136,1.047,0.19,-0.051,285.10406,45.008171,13.43,1,2
0.993,1.121733366,3.99e-06,-3.99e-06,131.56919,0.00288,-0.00288,0.464,0.0,-0.464,1.032,0.101,-0.101,84.3,7.8,-7.8,2.39,0.92,-1.71,2384.0,7641.15,8839.4,-7082.66,13.6,1.0,5023.0,150.0,-135.0,3.682,0.87,-0.29,2.571,0.989,-1.837,287.50375,44.167259,13.875,1,1
1.0,14.48584765,2.48e-05,-2.48e-05,175.00624,0.00135,-0.00135,0.93,0.019,-0.65,3.1365,0.0929,-0.0929,457.0,10.0,-10.0,2.88,0.45,-0.37,784.0,89.16,38.95,-26.66,52.2,1.0,5784.0,104.0,-116.0,4.352,0.115,-0.115,1.085,0.17,-0.139,288.69864,39.70829,13.946,1,2
1.0,12.98494603,3.25e-05,-3.25e-05,139.78207,0.00203,-0.00203,0.046,0.378,-0.046,3.4497,0.0649,-0.0649,257.0,7.6,-7.6,1.64,0.24,-0.19,818.0,105.74,43.23,-30.05,38.4,1.0,5948.0,107.0,-119.0,4.384,0.11,-0.11,1.025,0.149,-0.122,286.43365,50.300331,13.029,1,2
1.0,3.696121272,2.39e-06,-2.39e-06,134.5014,0.00054,-0.00054,0.016,0.371,-0.016,2.463,0.0181,-0.0181,383.0,3.3,-3.3,1.78,0.19,-0.16,1095.0,340.33,112.79,-80.17,130.0,2.0,5465.0,109.0,-109.0,4.449,0.085,-0.085,0.925,0.101,-0.083,287.698,42.338718,12.498,1,2
0.267,24.996068,0.0038,-0.0038,144.9693,0.0227,-0.0227,0.409,0.051,-0.409,5.623,0.387,-0.387,622.0,70.3,-70.3,2.4,0.36,-0.12,604.0,31.43,12.41,-4.58,9.4,2.0,5761.0,78.0,-78.0,4.492,0.022,-0.12,0.956,0.143,-0.048,281.64999,42.132061,15.183,1,1
