KepID,DispositionScore,NotTransit-LikeFalsePositiveFlag,koi_fpflag_ss,CentroidOffsetFalsePositiveFlag,EphemerisMatchIndicatesContaminationFalsePositiveFlag,OrbitalPeriod[days,OrbitalPeriodUpperUnc.[days,OrbitalPeriodLowerUnc.[days,TransitEpoch[BKJD,TransitEpochUpperUnc.[BKJD,TransitEpochLowerUnc.[BKJD,ImpactParamete,ImpactParameterUpperUnc,ImpactParameterLowerUnc,TransitDuration[hrs,TransitDurationUpperUnc.[hrs,TransitDurationLowerUnc.[hrs,TransitDepth[ppm,TransitDepthUpperUnc.[ppm,TransitDepthLowerUnc.[ppm,PlanetaryRadius[Earthradii,PlanetaryRadiusUpperUnc.[Earthradii,PlanetaryRadiusLowerUnc.[Earthradii,EquilibriumTemperature[K,InsolationFlux[Earthflux,InsolationFluxUpperUnc.[Earthflux,InsolationFluxLowerUnc.[Earthflux,TransitSignal-to-Nois,TCEPlanetNumbe,TCEDeliver,StellarEffectiveTemperature[K,StellarEffectiveTemperatureUpperUnc.[K,StellarEffectiveTemperatureLowerUnc.[K,StellarSurfaceGravity[log10(cm/s**2),StellarSurfaceGravityUpperUnc.[log10(cm/s**2),StellarSurfaceGravityLowerUnc.[log10(cm/s**2),StellarRadius[Solarradii,StellarRadiusUpperUnc.[Solarradii,StellarRadiusLowerUnc.[Solarradii,RA[decimaldegrees,Dec[decimaldegrees,Kepler-band[mag],ExoplanetCandidate,ExoplanetConfirmed
5565261,0.0,0,1,1,0,2.362348096,2.61e-06,-2.61e-06,131.705479,0.000896,-0.000896,1.219,1.461,-0.135,3.5979,0.0459,-0.0459,725.0,8.4,-8.4,89.55,32.3,-39.4,2104.0,4625.06,4905.48,-3328.28,103.6,1.0,1,5088.0,139.0,-139.0,3.502,0.462,-0.249,3.293,1.186,-1.45,299.33298,40.714352,13.99,0,0
7100673,0.997,0,0,0,0,5.99273265,2.36e-05,-2.36e-05,131.75079,0.0031,-0.0031,0.505,0.419,-0.302,2.6502,0.0944,-0.0944,69.8,3.9,-3.9,0.91,0.14,-0.13,1010.0,245.32,109.34,-76.88,19.2,3.0,1,5574.0,111.0,-100.0,4.354,0.132,-0.108,1.065,0.166,-0.15,285.72849,42.65453,12.639,1,2
10387742,0.217,1,0,0,0,251.7512,0.00288,-0.00288,271.06864,0.00693,-0.00693,0.943,0.032,-0.671,4.314,0.436,-0.436,114.0,18.6,-18.6,1.25,0.18,-0.08,272.0,1.29,0.52,-0.25,7.5,2.0,1,5640.0,101.0,-113.0,4.492,0.045,-0.113,0.921,0.131,-0.061,283.42911,47.59251,12.623,0,0
3342794,0.997,0,0,0,0,14.17222858,5.56e-05,-5.56e-05,142.60134,0.0032,-0.0032,0.869,0.048,-0.62,2.6297,0.083,-0.083,247.0,11.0,-11.0,2.39,0.38,-0.46,873.0,137.33,60.78,-55.22,24.5,1.0,1,5845.0,105.0,-117.0,4.2,0.176,-0.108,1.314,0.209,-0.256,291.60718,38.410389,13.776,1,2
11253711,0.991,0,0,0,0,17.79108667,4.41e-05,-4.41e-05,149.25344,0.00197,-0.00197,0.654,0.037,-0.495,2.662,0.0593,-0.0593,414.0,11.3,-11.3,2.88,0.47,-0.64,830.0,112.09,48.4,-47.0,39.8,1.0,1,5855.0,79.0,-70.0,4.148,0.195,-0.105,1.34,0.221,-0.294,296.08975,48.955372,13.8,1,1
11090556,1.0,0,0,0,0,2.7881793,1.85e-05,-1.85e-05,131.84558,0.00571,-0.00571,0.058,0.402,-0.058,3.397,0.139,-0.139,55.8,3.4,-3.4,1.02,0.18,-0.2,1510.0,1228.07,538.44,-496.01,17.7,1.0,1,5758.0,78.0,-86.0,4.168,0.182,-0.098,1.385,0.232,-0.283,294.86618,48.638981,13.71,1,2
7118364,1.0,0,0,0,0,4.347288783,8.51e-06,-8.51e-06,172.23343,0.00157,-0.00157,0.025,0.404,-0.025,2.1024,0.0502,-0.0502,452.0,13.2,-13.2,2.36,0.39,-0.29,1174.0,449.79,193.34,-122.22,39.7,1.0,1,5754.0,78.0,-78.0,4.345,0.11,-0.11,1.122,0.184,-0.138,291.96417,42.69614,15.024,1,2
3848966,0.993,0,0,0,0,29.7681831,0.00076,-0.00076,155.5003,0.0219,-0.0219,0.739,0.235,-0.515,9.425,0.7,-0.7,160.0,14.4,-14.4,3.98,0.73,-1.34,917.0,167.51,79.44,-98.4,13.2,1.0,1,5640.0,76.0,-84.0,3.679,0.245,-0.105,2.916,0.531,-0.986,291.06937,38.914909,14.564,1,1
12109845,0.0,0,1,0,0,0.865959015,1.53e-07,-1.53e-07,132.053694,0.000155,-0.000155,3.068,1.482,-0.353,1.9058,0.0111,-0.0111,291000.0,656.0,-656.0,144.5,9.24,-12.3,1162.0,434.65,123.0,-129.02,620.8,1.0,1,4561.0,145.0,-194.0,4.788,0.048,-0.028,0.469,0.03,-0.04,290.91916,50.696388,16.44,0,0
9291368,0.0,0,1,0,0,3.796448299,9.99e-06,-9.99e-06,131.37037,0.0037,-0.0037,0.249,0.005,-0.004,11.5917,0.0103,-0.0103,523000.0,633.0,-633.0,232.39,20.4,-109.0,2577.0,10412.56,3508.68,-7931.36,1487.2,1.0,1,8117.0,251.0,-334.0,3.748,0.442,-0.078,3.07,0.27,-1.44,295.82617,45.78764,14.005,0,0
6677256,0.0,0,1,1,1,3.125814002,8.55e-06,-8.55e-06,356.41184,0.00191,-0.00191,0.506,0.048,-0.443,1.7895,0.0683,-0.0683,239.0,9.2,-9.2,1.88,0.61,-0.26,1460.0,1073.04,1024.5,-392.17,32.0,1.0,1,6358.0,179.0,-246.0,4.346,0.101,-0.203,1.181,0.381,-0.163,287.14944,42.105209,14.521,0,0
6520519,0.825,0,0,0,0,1.97650073,1.1e-05,-1.1e-05,132.95624,0.00456,-0.00456,0.055,0.386,-0.055,1.788,0.136,-0.136,113.0,12.8,-12.8,0.97,0.31,-0.1,1394.0,892.9,819.47,-270.97,10.4,1.0,1,5792.0,161.0,-202.0,4.514,0.05,-0.2,0.923,0.287,-0.096,291.21164,41.9856,15.608,1,1
8644365,1.0,0,0,0,0,10.54841329,5.47e-05,-5.47e-05,139.06402,0.00411,-0.00411,1.017,0.047,-0.786,1.872,0.143,-0.143,103.0,10.4,-10.4,3.89,0.65,-0.34,899.0,154.84,72.78,-37.23,11.7,2.0,1,6047.0,120.0,-133.0,4.387,0.066,-0.123,1.092,0.181,-0.097,298.09543,44.737061,13.204,1,1
3437776,0.0,1,0,1,0,0.635587392,2.14e-06,-2.14e-06,133.41665,0.00265,-0.00265,1.151,0.036,-0.155,4.7,0.269,-0.269,148.0,4.7,-4.7,28.58,4.16,-6.24,2587.0,10637.41,4084.68,-4478.61,40.9,2.0,1,5671.0,76.0,-76.0,4.075,0.189,-0.081,1.608,0.234,-0.351,289.79907,38.555061,14.565,0,0
9032900,0.0,0,0,0,0,67.5923754,0.000534,-0.000534,151.75056,0.00535,-0.00535,0.728,0.017,-0.451,12.249,0.332,-0.332,4160.0,79.7,-79.7,12.1,2.25,-2.76,588.0,28.2,14.74,-12.7,60.9,2.0,1,6038.0,120.0,-120.0,4.082,0.18,-0.12,1.744,0.325,-0.398,295.58658,45.364979,13.675,1,1
7697103,0.729,0,0,0,0,13.9248005,0.00018,-0.00018,142.04732,0.0098,-0.0098,0.021,0.426,-0.021,5.016,0.281,-0.281,195.0,20.2,-20.2,0.9,0.11,-0.06,588.0,28.27,11.93,-6.36,11.2,1.0,1,5271.0,141.0,-157.0,4.669,0.028,-0.083,0.648,0.085,-0.042,296.38269,43.386589,15.712,1,1
6528464,0.797,0,0,0,0,33.67280658,9.04e-05,-9.04e-05,162.03676,0.00216,-0.00216,0.309,0.126,-0.309,8.2267,0.0666,-0.0666,171.0,2.9,-2.9,1.86,0.06,-0.04,661.0,45.09,6.56,-3.41,61.2,2.0,1,5587.0,100.0,-58.0,4.091,0.011,-0.011,1.423,0.047,-0.026,293.73282,41.900829,11.411,1,2
10661976,0.0,1,0,1,1,0.61566096,1.13e-05,-1.13e-05,131.8348,0.017,-0.017,0.161,0.339,-0.161,2.669,0.579,-0.579,13.9,2.0,-2.0,0.84,0.2,-0.39,3459.0,33790.36,23862.99,-25583.88,8.5,1.0,1,6619.0,187.0,-234.0,3.89,0.424,-0.133,2.23,0.525,-1.049,290.37558,47.996696,13.74,0,0
9935642,1.0,0,0,0,0,9.33955596,6.35e-05,-6.35e-05,138.11016,0.00587,-0.00587,0.985,0.02,-0.705,2.058,0.22,-0.22,245.0,29.3,-29.3,2.67,0.78,-0.58,882.0,143.02,124.84,-64.51,10.1,1.0,1,5516.0,166.0,-150.0,4.308,0.214,-0.195,1.101,0.319,-0.239,283.45764,46.819538,15.03,1,1
9578686,1.0,0,0,0,0,21.3851584,3.58e-05,-3.58e-05,178.78285,0.00132,-0.00132,0.518,0.063,-0.393,4.0819,0.0447,-0.0447,664.0,11.4,-11.4,2.17,0.18,-0.15,574.0,25.63,6.91,-5.12,67.3,1.0,1,5376.0,106.0,-106.0,4.516,0.06,-0.06,0.825,0.069,-0.057,287.33279,46.20351,13.94,1,2
4826110,0.0,0,0,1,0,1.333395306,7.41e-06,-7.41e-06,134.18228,0.00366,-0.00366,0.151,0.313,-0.151,1.188,0.168,-0.168,115.0,13.0,-13.0,0.86,0.1,-0.09,1390.0,880.53,384.08,-250.18,11.5,1.0,1,5199.0,171.0,-155.0,4.527,0.06,-0.082,0.811,0.1,-0.082,288.92575,39.90155,15.299,0,0
3861611,0.0,0,0,1,1,3.84933401,2.68e-05,-2.68e-05,134.43526,0.00549,-0.00549,0.591,0.359,-0.369,2.299,0.157,-0.157,504.0,44.3,-44.3,2.12,0.62,-0.21,1147.0,408.84,373.84,-119.95,13.6,1.0,1,5984.0,210.0,-210.0,4.521,0.05,-0.2,0.906,0.264,-0.088,294.36057,38.948181,15.851,0,0
